period,msn,seriesDescription,value,unit
2013,PAIMPVI,Petroleum Imports From U.S. Virgin Islands in Thousand Barrels per Day,No Data Reported,Thousand Barrels per Day
2013,PAIMPVE,Petroleum Imports From Venezuela in Thousand Barrels per Day,806.189,Thousand Barrels per Day
2013,PAIMPUS,Total Petroleum Imports in Thousand Barrels per Day,9858.778,Thousand Barrels per Day
2013,PAIMPUK,Petroleum Imports From United Kingdom in Thousand Barrels per Day,147.477,Thousand Barrels per Day
2013,PAIMPUA,Petroleum Imports from United Arab Emirates in Thousand Barrels per Day,3.321,Thousand Barrels per Day
2013,PAIMPSA,Petroleum Imports From Saudi Arabia in Thousand Barrels per Day,1328.586,Thousand Barrels per Day
2013,PAIMPRU,Petroleum Imports From Russia in Thousand Barrels per Day,460.34,Thousand Barrels per Day
2013,PAIMPPG,Petroleum Imports From Persian Gulf in Thousand Barrels per Day,2009.11,Thousand Barrels per Day
2013,PAIMPOT,Petroleum Imports From Other Non-OPEC in Thousand Barrels per Day,786.493,Thousand Barrels per Day
2013,PAIMPOP,Petroleum Imports From Total OPEC in Thousand Barrels per Day,3720.301,Thousand Barrels per Day
2013,PAIMPOO,Petroleum Imports From Other OPEC in Thousand Barrels per Day,458.792,Thousand Barrels per Day
2013,PAIMPNT,Petroleum Imports From Total Non-OPEC Countries in Thousand Barrels per Day,6138.477,Thousand Barrels per Day
2013,PAIMPNO,Petroleum Imports From Norway in Thousand Barrels per Day,54.052,Thousand Barrels per Day
2013,PAIMPNL,Petroleum Imports From Netherlands in Thousand Barrels per Day,88.882,Thousand Barrels per Day
2013,PAIMPNI,Petroleum Imports From Nigeria in Thousand Barrels per Day,281.126,Thousand Barrels per Day
2013,PAIMPMX,Petroleum Imports From Mexico in Thousand Barrels per Day,918.666,Thousand Barrels per Day
2013,PAIMPLY,Petroleum Imports From Libya in Thousand Barrels per Day,58.649,Thousand Barrels per Day
2013,PAIMPKU,Petroleum Imports From Kuwait in Thousand Barrels per Day,327.693,Thousand Barrels per Day
2013,PAIMPIQ,Petroleum Imports From Iraq in Thousand Barrels per Day,340.83,Thousand Barrels per Day
2013,PAIMPEN,Petroleum Imports from Ecuador in Thousand Barrels per Day,0,Thousand Barrels per Day
2013,PAIMPCN,Petroleum Imports From Canada in Thousand Barrels per Day,3141.649,Thousand Barrels per Day
2013,PAIMPCL,Petroleum Imports From Colombia in Thousand Barrels per Day,389.474,Thousand Barrels per Day
2013,PAIMPBZ,Petroleum Imports From Brazil in Thousand Barrels per Day,151.444,Thousand Barrels per Day
2013,PAIMPAG,Petroleum Imports From Algeria in Thousand Barrels per Day,115.107,Thousand Barrels per Day
2013,PAIMKUS,Crude Oil and Petroleum Products Imports Heat Content in Million Btu per Barrel,5.899,Million Btu per Barrel
2013,PAICPUS,Total Petroleum Consumed by the Industrial Sector in Thousand Barrels per Day,4723.876,Thousand Barrels per Day
2013,PAICKUS,"Petroleum Consumption, Industrial Sector Heat Content in Million Btu per Barrel",4.801,Million Btu per Barrel
2013,PAICBUS,Total Petroleum Consumed by the Industrial Sector in Trillion Btu,8278.008,Trillion Btu
2013,PAI9SUS,"Petroleum Industrial Sector Generating Units, Capacity Factor in Percent",30,Percent
2013,PAI9PUS,"Petroleum Industrial Sector, Net Summer Capacity in Million Kilowatts",.652,Million Kilowatts
2013,PAI5PUS,"Electricity Net Generation From Petroleum, Industrial Sector in Million Kilowatthours",2531.075,Million Kilowatthours
2013,PAI3PUS,"Petroleum Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector in Thousand Barrels",12696.944,Thousand Barrels
2013,PAI1PUS,"Petroleum Consumption for Electricity Generation, Industrial Sector in Thousand Barrels",3892.277,Thousand Barrels
2013,PAGVBUS,U.S. Government Petroleum Consumption in Trillion Btu,614,Trillion Btu
2013,PAGLPUS,Petroleum Processing Gain in Thousand Barrels per Day,1086.666,Thousand Barrels per Day
2013,PAGBPUS,"Petroleum, Net Summer Capacity in Million Kilowatts",43.523,Million Kilowatts
2013,PAEXVUS,Petroleum Exports in Million Dollars,123244,Million Dollars
2013,PAEXPUS,Total Petroleum Exports in Thousand Barrels per Day,3621.335,Thousand Barrels per Day
2013,PAEXPUK,Petroleum Exports to United Kingdom in Thousand Barrels per Day,35.809,Thousand Barrels per Day
2013,PAEXPSN,Petroleum Exports to Singapore in Thousand Barrels per Day,136.138,Thousand Barrels per Day
2013,PAEXPSK,Petroleum Exports to South Korea in Thousand Barrels per Day,13.382,Thousand Barrels per Day
2013,PAEXPOT,Petroleum Exports to Other Countries in Thousand Barrels per Day,1615.905,Thousand Barrels per Day
2013,PAEXPNL,Petroleum Exports to Netherlands in Thousand Barrels per Day,274.007,Thousand Barrels per Day
2013,PAEXPMX,Petroleum Exports to Mexico in Thousand Barrels per Day,531.575,Thousand Barrels per Day
2013,PAEXPJA,Petroleum Exports to Japan in Thousand Barrels per Day,117.379,Thousand Barrels per Day
2013,PAEXPIH,Petroleum Exports to India in Thousand Barrels per Day,41.106,Thousand Barrels per Day
2013,PAEXPCN,Petroleum Exports to Canada in Thousand Barrels per Day,548.687,Thousand Barrels per Day
2013,PAEXPCH,Petroleum Exports to China in Thousand Barrels per Day,128.754,Thousand Barrels per Day
2013,PAEXPBZ,Petroleum Exports to Brazil in Thousand Barrels per Day,178.593,Thousand Barrels per Day
2013,PAEXKUS,Crude Oil and Petroleum Products Exports Heat Content in Million Btu per Barrel,5.482,Million Btu per Barrel
2013,PAETPUS,"Electricity Net Generation From Petroleum, All Sectors in Million Kilowatthours",27164.444,Million Kilowatthours
2013,PAETKUS,Approximate Petroleum Heat Rate in Btu per Kilowatthour,10713,Btu per Kilowatthour
2013,PAERDUS,"Average Cost of Total Petroleum Receipts at Electric Generating Plants in Dollars per Million Btu, Including Taxes",11.57,"Dollars per Million Btu, Including Taxes"
2013,PAEPPUS,"Total Petroleum Consumption for Electricity Generation, All Sectors in Thousand Barrels",47491.792,Thousand Barrels
2013,PAEKPUS,"Total Petroleum Stocks, Electric Power Sector, End of Period in Thousand Barrels",32336.258,Thousand Barrels
2013,PAEIZUS,Total Petroleum Consumed by the Electric Power Sector in Thousand Barrels per Day,118.642,Thousand Barrels per Day
2013,PAEIKUS,"Petroleum Consumption, Electric Power Sector Heat Content in Million Btu per Barrel",5.892,Million Btu per Barrel
2013,PAEIEUS,Petroleum Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,22.421,Million Metric Tons of Carbon Dioxide
2013,PAEIBUS,Total Petroleum Consumed by the Electric Power Sector in Trillion Btu,255.163,Trillion Btu
2013,PAEGPUS,"Electricity Net Generation From Petroleum, Electric Power Sector in Million Kilowatthours",24509.663,Million Kilowatthours
2013,PAECPUS,"Total Petroleum Consumption for Electricity Generation and Useful Thermal Output, All Sectors in Thousand Barrels",58377.951,Thousand Barrels
2013,PACCPUS,Total Petroleum Consumed by the Commercial Sector in Thousand Barrels per Day,304.04,Thousand Barrels per Day
2013,PACCKUS,"Petroleum Consumption, Commercial Sector Heat Content in Million Btu per Barrel",5.053,Million Btu per Barrel
2013,PACCBUS,Total Petroleum Consumed by the Commercial Sector in Trillion Btu,560.807,Trillion Btu
2013,PACASUS,"Petroleum Generating Units, Capacity Factor in Percent",6.6,Percent
2013,PAC9SUS,"Petroleum Commercial Sector Generating Units, Capacity Factor in Percent",1.9,Percent
2013,PAC9PUS,"Petroleum Commercial Sector, Net Summer Capacity in Million Kilowatts",.456,Million Kilowatts
2013,PAC5PUS,"Electricity Net Generation From Petroleum, Commercial Sector in Million Kilowatthours",123.706,Million Kilowatthours
2013,PAC3PUS,"Petroleum Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector in Thousand Barrels",887.18,Thousand Barrels
2013,PAC1PUS,"Petroleum Consumption for Electricity Generation, Commercial Sector in Thousand Barrels",334.697,Thousand Barrels
2013,PAAJPUS,Petroleum Adjustments in Thousand Barrels per Day,400.443,Thousand Barrels per Day
2013,PAACPUS,Total Petroleum Consumed by the Transportation Sector in Thousand Barrels per Day,13252.192,Thousand Barrels per Day
2013,PAACKUS,"Petroleum Consumption, Transportation Sector Heat Content in Million Btu per Barrel",5.302,Million Btu per Barrel
2013,PAACBUS,Total Petroleum Consumed by the Transportation Sector in Trillion Btu,25645.146,Trillion Btu
2013,OTNFPUS,Other Petroleum Non-Combusiton Consumption in Thousand Barrels per Day,93.175,Thousand Barrels per Day
2013,OTNFBUS,Other Petroleum Non-Combustion Consumption in Quadrillion Btu,.196517,Quadrillion Btu
2013,OTL1BUS,"Other Consumption for Electricity Generation, Electric Power Sector in Trillion Btu",130.499,Trillion Btu
2013,OTI3BUS,"Other Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector in Trillion Btu",69.344,Trillion Btu
2013,OTI1BUS,"Other Consumption for Electricity Generation, Industrial Sector in Trillion Btu",50.481,Trillion Btu
2013,OTGVBUS,U.S. Government Purchased Steam and Other Energy Consumption in Trillion Btu,21.8,Trillion Btu
2013,OTEPBUS,"Other Consumption for Electricity Generation, All Sectors in Trillion Btu",200.145,Trillion Btu
2013,OTEIBUS,"Other Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector in Trillion Btu",138.771,Trillion Btu
2013,OTECBUS,"Other Consumption for Electricity Generation and Useful Thermal Output, All Sectors in Trillion Btu",236.437,Trillion Btu
2013,OPTCPUS,Other Products Supplied in Thousand Barrels per Day,1226.551,Thousand Barrels per Day
2013,OPTCEUS,Other Petroleum Products CO2 Emissions in Million Metric Tons of Carbon Dioxide,119.629,Million Metric Tons of Carbon Dioxide
2013,OPTCBUS,Other Products Supplied in Trillion Btu,2583.052,Trillion Btu
2013,OPROPUS,Other Petroleum Products Refinery and Blender Net Production in Thousand Barrels per Day,2549.83,Thousand Barrels per Day
2013,OPPSPUS,Other Products Stocks in Million Barrels,149.012,Million Barrels
2013,OPIMPUS,Other Petroleum Products Imports in Thousand Barrels per Day,1437.737,Thousand Barrels per Day
2013,OPICPUS,Other Petroleum Products Consumed by the Industrial Sector in Thousand Barrels per Day,1226.551,Thousand Barrels per Day
2013,OPICEUS,Other Petroleum Products Industrial Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,119.629,Million Metric Tons of Carbon Dioxide
2013,OPICBUS,Other Petroleum Products Consumed by the Industrial Sector in Trillion Btu,2583.052,Trillion Btu
2013,OPEXPUS,Other Petroleum Products Exports in Thousand Barrels per Day,993.705,Thousand Barrels per Day
2013,OPACPUS,Other Products Consumed by the Transportation Sector in Thousand Barrels per Day,Not Available,Thousand Barrels per Day
2013,OPACBUS,Other Products Consumed by the Transportation Sector in Trillion Btu,Not Available,Trillion Btu
2013,OMNIVUS,Non-Energy Balance in Million Dollars,-457284,Million Dollars
2013,OLRIPUS,Other Liquids Refinery and Blender Net Inputs in Thousand Barrels per Day,2210.847,Thousand Barrels per Day
2013,OLL1PUS,"Other Petroleum Liquids Consumption for Electricity Generation, Electric Power Sector in Thousand Barrels",1488.257,Thousand Barrels
2013,OLEPPUS,"Other Petroleum Liquids Consumption for Electricity Generation, All Sectors in Thousand Barrels",1681.322,Thousand Barrels
2013,OLEKPUS,"Other Petroleum Liquids Stocks, Electric Power Sector, End of Period in Thousand Barrels",1393.352,Thousand Barrels
2013,OLEIPUS,"Other Petroleum Liquids Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector in Thousand Barrels",1489.409,Thousand Barrels
2013,OLECPUS,"Other Petroleum Liquids Consumption for Electricity Generation and Useful Thermal Output, All Sectors in Thousand Barrels",2211.521,Thousand Barrels
2013,OJL1BUS,"Other Fossil Gases Consumption for Electricity Generation, Electric Power Sector in Trillion Btu",40.883,Trillion Btu
2013,OJI5PUS,"Electricity Net Generation From Other Fossil Gases, Industrial Sector in Million Kilowatthours",8530.69,Million Kilowatthours
2013,OJI3BUS,"Other Fossil Gases Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector in Trillion Btu",245.5,Trillion Btu
2013,OJI1BUS,"Other Fossil Gases Consumption for Electricity Generation, Industrial Sector in Trillion Btu",74.42,Trillion Btu
2013,OJETPUS,"Electricity Net Generation From Other Fossil Gases, All Sectors in Million Kilowatthours",12852.937,Million Kilowatthours
2013,OJEPBUS,"Other Fossil Gases Consumption for Electricity Generation, All Sectors in Trillion Btu",115.303,Trillion Btu
2013,OJEIBUS,"Other Fossil Gases Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector in Trillion Btu",59.705,Trillion Btu
2013,OJEGPUS,"Electricity Net Generation From Other Fossil Gases, Electric Power Sector in Million Kilowatthours",4322.247,Million Kilowatthours
2013,OJECBUS,"Other Fossil Gases Consumption for Electricity Generation and Useful Thermal Output, All Sectors in Trillion Btu",305.205,Trillion Btu
2013,OGWSPUS,Active Well Service Rig Count in Number of Rigs,2064,Number of Rigs
2013,OGVTPUS,"Crude Oil and Natural Gas Rotary Rigs in Operation, Vertical Trajectory in Number of Rigs",435,Number of Rigs
2013,OGVFPUS,"Crude Oil, Natural Gas, and Dry Wells, Vertical Trajectory, Total Footage Drilled in Thousand Feet",100935,Thousand Feet
2013,OGTWPUS,"Crude Oil, Natural Gas, and Dry Wells Drilled, Total in Number",40732,Number
2013,OGTFPUS,"Crude Oil, Natural Gas, and Dry Wells, Total Footage Drilled in Thousand Feet",355622,Thousand Feet
2013,OGPFPUS,"Crude Oil Wells, Total Footage Drilled  in Thousand Feet",234951,Thousand Feet
2013,OGNRPUS,"Crude Oil and Natural Gas Rotary Rigs in Operation, Total in Number of Rigs",1761,Number of Rigs
2013,OGNRPON,"Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore in Number of Rigs",1705,Number of Rigs
2013,OGNRPOF,"Crude Oil and Natural Gas Rotary Rigs in Operation, Offshore in Number of Rigs",56,Number of Rigs
2013,OGHRPUS,"Crude Oil and Natural Gas Rotary Rigs in Operation, Horizontal Trajectory in Number of Rigs",1102,Number of Rigs
2013,OGHFPUS,"Crude Oil, Natural Gas, and Dry Wells, Horizontal and Directional Trajectory, Total Footage Drilled in Thousand Feet",254687,Thousand Feet
2013,OGGFPUS,"Natural Gas Wells, Total Footage Drilled   in Thousand Feet",100744,Thousand Feet
2013,OGDRPUS,"Crude Oil and Natural Gas Rotary Rigs in Operation, Directional Trajectory in Number of Rigs",224,Number of Rigs
2013,OGDFPUS,"Dry Wells, Total Footage Drilled  in Thousand Feet",19927,Thousand Feet
2013,NYL9SUS,"Natural Gas Conventional Steam Plants Electric Power Sector Generating Units, Capacity Factor in Percent",10.4,Percent
2013,NYI9SUS,"Natural Gas Conventional Steam Plants Industrial Sector Generating Units, Capacity Factor in Percent",50.2,Percent
2013,NYCASUS,"Natural Gas Conventional Steam Plants Generating Units, Capacity Factor in Percent",11.2,Percent
2013,NYC9SUS,"Natural Gas Conventional Steam Plants Commercial Sector Generating Units, Capacity Factor in Percent",33.7,Percent
2013,NXWSPUS,"Natural Gas Storage Activity, Withdrawals in Billion Cubic Feet",3701.51,Billion Cubic Feet
2013,NXSIPUS,"Natural Gas Storage Activity, Injections in Billion Cubic Feet",3155.661,Billion Cubic Feet
2013,NXSCPUS,"Natural Gas Storage Activity, Net in Billion Cubic Feet",545.848,Billion Cubic Feet
2013,NWEIEUS,Non-Biomass Waste Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,11.074,Million Metric Tons of Carbon Dioxide
2013,NUOUPUS,"Nuclear Generating Units, Total Operable Units, End of Period in Number",100,Number
2013,NUL9SUS,"Nuclear Electric Power Sector Generating Units, Capacity Factor in Percent",90.8,Percent
2013,NUL9PUS,"Nuclear Electric Power Sector, Net Summer Capacity in Million Kilowatts",99.24,Million Kilowatts
2013,NUI9SUS,"Nuclear Industrial Sector Generating Units, Capacity Factor in Percent",No Data Reported,Percent
2013,NUI9PUS,"Nuclear Industrial Sector, Net Summer Capacity in Million Kilowatts",No Data Reported,Million Kilowatts
2013,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",99.24,Million Kilowatts
2013,NUETSUS,Nuclear Share of Electricity Net Generation in Percent,19.4,Percent
2013,NUETPUS,"Electricity Net Generation From Nuclear Electric Power, All Sectors in Million Kilowatthours",789016.473,Million Kilowatthours
2013,NUETKUS,"Electricity Net Generation, Nuclear Plants in Btu per Kilowatthour",10449,Btu per Kilowatthour
2013,NUETBUS,Nuclear Electric Power Consumption/Production in Trillion Btu,8244.433,Trillion Btu
2013,NUEGPUS,"Electricity Net Generation From Nuclear Electric Power, Electric Power Sector in Million Kilowatthours",789016.473,Million Kilowatthours
2013,NUEGBUS,Nuclear Electric Power Consumed by the Electric Power Sector in Trillion Btu,8244.433,Trillion Btu
2013,NUCASUS,"Nuclear Generating Units, Capacity Factor in Percent",90.8,Percent
2013,NUC9SUS,"Nuclear Commercial Sector Generating Units, Capacity Factor in Percent",No Data Reported,Percent
2013,NUC9PUS,"Nuclear Commercial Sector, Net Summer Capacity in Million Kilowatts",No Data Reported,Million Kilowatts
2013,NTL9SUS,"Natural Gas Gas Turbine Plants Electric Power Sector Generating Units, Capacity Factor in Percent",5,Percent
2013,NTI9SUS,"Natural Gas Gas Turbine Plants Industrial Sector Generating Units, Capacity Factor in Percent",75.1,Percent
2013,NTCASUS,"Natural Gas Gas Turbine Plants Generating Units, Capacity Factor in Percent",8.3,Percent
2013,NTC9SUS,"Natural Gas Gas Turbine Plants Commercial Sector Generating Units, Capacity Factor in Percent",51.9,Percent
2013,NNTCEUS,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions in Million Metric Tons of Carbon Dioxide",1408.38,Million Metric Tons of Carbon Dioxide
2013,NNTCBUS,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels) in Trillion Btu,26805.134,Trillion Btu
2013,NNRCEUS,"Natural Gas, Excluding Supplemental Gaseous Fuels, Residential Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide",266.316,Million Metric Tons of Carbon Dioxide
2013,NNRCBUS,Natural Gas Consumed by the Residential Sector (Excluding Supplemental Gaseous Fuels) in Trillion Btu,5022.942,Trillion Btu
2013,NNICEUS,Natural Gas Industrial Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,471.715,Million Metric Tons of Carbon Dioxide
2013,NNICBUS,Natural Gas Consumed by the Industrial Sector (Excluding Supplemental Gaseous Fuels) in Trillion Btu,9140.455,Trillion Btu
2013,NNEIEUS,Natural Gas Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,444.109,Million Metric Tons of Carbon Dioxide
2013,NNEIBUS,Natural Gas Consumed by the Electric Power Sector (Excluding Supplemental Gaseous Fuels) in Trillion Btu,8376.254,Trillion Btu
2013,NNCCEUS,"Natural Gas, Excluding Supplemental Gaseous Fuels, Commercial Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide",179.197,Million Metric Tons of Carbon Dioxide
2013,NNCCBUS,Natural Gas Consumed by the Commercial Sector (Excluding Supplemental Gaseous Fuels) in Trillion Btu,3379.793,Trillion Btu
2013,NLRIPUS,Natural Gas Liquids Refinery and Blender Net Inputs in Thousand Barrels per Day,496.197,Thousand Barrels per Day
2013,NLPRPUS,Natural Gas Liquids Production in Thousand Barrels per Day,2605.636,Thousand Barrels per Day
2013,NLPRKUS,Natural Gas Plant Liquids Production Heat Content in Million Btu per Barrel,3.629,Million Btu per Barrel
2013,NLPRBUS,Natural Gas Plant Liquids Production in Trillion Btu,3451.386,Trillion Btu
2013,NGWPUUS,"Average Natural Gas Price, Wellhead in Dollars per Thousand Cubic Feet",Not Available,Dollars per Thousand Cubic Feet
2013,NGWGPUS,"Natural Gas in Underground Storage, End of Period, Working Gas in Billion Cubic Feet",2889.892,Billion Cubic Feet
2013,NGWCPUS,"Change in Working Gas From Same Period Previous Year, Volume in Billion Cubic Feet",-523.018,Billion Cubic Feet
2013,NGWCCUS,"Change in Working Gas From Same Period Previous Year, Percent in Percent",-15.3,Percent
2013,NGVHUUS,Average Natural Gas Transportation Sector Price in Dollars per Thousand Cubic Feet,9.76,Dollars per Thousand Cubic Feet
2013,NGVHPUS,"Natural Gas Consumed by the Transportation Sector, Vehicle Fuel in Billion Cubic Feet",30.045,Billion Cubic Feet
2013,NGUSPUS,"Natural Gas in Underground Storage, End of Period, Total in Billion Cubic Feet",7255.027,Billion Cubic Feet
2013,NGTXKUS,"Natural Gas Consumption, End-Use Sectors Heat Content in Btu per Cubic Foot",1028,Btu per Cubic Foot
2013,NGTWPUS,"Wells Drilled, Natural Gas in Number",8526,Number
2013,NGTCPUS,"Natural Gas Consumption, Total in Billion Cubic Feet",26155.071,Billion Cubic Feet
2013,NGTCKUS,"Natural Gas Consumption, Total Heat Content in Btu per Cubic Foot",1027,Btu per Cubic Foot
2013,NGSFPUS,Supplemental Gaseous Fuels in Billion Cubic Feet,54.65,Billion Cubic Feet
2013,NGRCUUS,"Average Natural Gas Price, Delivered to Consumers, Residential in Dollars per Thousand Cubic Feet",10.32,Dollars per Thousand Cubic Feet
2013,NGRCSUS,Percentage of Residential Sector Consumption for Which Price Data Are Available in Percent,95.7,Percent
2013,NGRCPUS,Natural Gas Consumed by the Residential Sector in Billion Cubic Feet,4897.372,Billion Cubic Feet
2013,NGRCOUS,Average Cost of Residential Natural Gas in Real (1982-1984) Dollars per Thousand Cubic Feet,4.43,Real (1982-1984) Dollars per Thousand Cubic Feet
2013,NGRCAUS,Average Cost of Residential Natural Gas in Real (1982-1984) Dollars per Million Btu,4.309,Real (1982-1984) Dollars per Million Btu
2013,NGPZPUS,"Natural Gas Consumed by the Transportation Sector, Pipelines and Distribution in Billion Cubic Feet",833.061,Billion Cubic Feet
2013,NGPRPUS,Natural Gas Production (Dry) in Billion Cubic Feet,24205.523,Billion Cubic Feet
2013,NGPRKUS,"Natural Gas Production, Dry Heat Content in Btu per Cubic Foot",1027,Btu per Cubic Foot
2013,NGPRBUS,Natural Gas (Dry) Production in Trillion Btu,24859.072,Trillion Btu
2013,NGNWPUS,Natural Gas Net Storage Withdrawals in Billion Cubic Feet,546.158,Billion Cubic Feet
2013,NGNRPUS,"Natural Gas Rotary Rigs in Operation, Total in Number of Rigs",383,Number of Rigs
2013,NGNIPUS,Natural Gas Net Imports in Billion Cubic Feet,1310.942,Billion Cubic Feet
2013,NGNIBUS,Natural Gas Net Imports in Quadrillion Btu,1.368874,Quadrillion Btu
2013,NGNFPUS,Natural Gas Non-Combustion Consumption in Billion Cubic Feet,721.133,Billion Cubic Feet
2013,NGNFBUS,Natural Gas Non-Combustion Consumption in Quadrillion Btu,.741325,Quadrillion Btu
2013,NGMPPUS,Natural Gas Marketed Production (Wet) in Billion Cubic Feet,25562.232,Billion Cubic Feet
2013,NGMPKUS,"Natural Gas Production, Marketed Heat Content in Btu per Cubic Foot",1101,Btu per Cubic Foot
2013,NGLPPUS,"Natural Gas Consumed by the Industrial Sector, Lease and Plant Fuel in Billion Cubic Feet",1483.085,Billion Cubic Feet
2013,NGL9PUS,"Natural Gas Electric Power Sector, Net Summer Capacity in Million Kilowatts",409.221,Million Kilowatts
2013,NGL1PUS,"Natural Gas Consumption for Electricity Generation, Electric Power Sector in Billion Cubic Feet",7887.578,Billion Cubic Feet
2013,NGINUUS,"Average Natural Gas Price, Delivered to Consumers, Industrial in Dollars per Thousand Cubic Feet",4.64,Dollars per Thousand Cubic Feet
2013,NGINSUS,Percentage of Industrial Sector Consumption for Which Price Data Are Available in Percent,16.6,Percent
2013,NGINPUS,"Natural Gas Consumed by the Other Industrial Sector, Total in Billion Cubic Feet",7425.452,Billion Cubic Feet
2013,NGIMPUS,Natural Gas Imports in Billion Cubic Feet,2883.355,Billion Cubic Feet
2013,NGIMPMX,Natural Gas Imports from Mexico in Billion Cubic Feet,1.069,Billion Cubic Feet
2013,NGIMPCN,Natural Gas Imports from Canada in Billion Cubic Feet,2785.982,Billion Cubic Feet
2013,NGIMKUS,Natural Gas Imports Heat Content in Btu per Cubic Foot,1025,Btu per Cubic Foot
2013,NGIMBUS,Natural Gas Imports in Trillion Btu,2955.439,Trillion Btu
2013,NGICPUS,"Natural Gas Consumed by the Industrial Sector, Total in Billion Cubic Feet",8908.537,Billion Cubic Feet
2013,NGI9PUS,"Natural Gas Industrial Sector, Net Summer Capacity in Million Kilowatts",14.39,Million Kilowatts
2013,NGI5PUS,"Electricity Net Generation From Natural Gas, Industrial Sector in Million Kilowatthours",88732.511,Million Kilowatthours
2013,NGI4PUS,"Natural Gas Consumed by the Other Industrial Sector, Non-CHP in Billion Cubic Feet",6255.149,Billion Cubic Feet
2013,NGI3PUS,"Natural Gas Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector in Billion Cubic Feet",1170.303,Billion Cubic Feet
2013,NGI1PUS,"Natural Gas Consumption for Electricity Generation, Industrial Sector in Billion Cubic Feet",642.152,Billion Cubic Feet
2013,NGGWPUS,Natural Gas Gross Withdrawals in Billion Cubic Feet,29522.551,Billion Cubic Feet
2013,NGGVBUS,U.S. Government Natural Gas Consumption in Trillion Btu,122.5,Trillion Btu
2013,NGGBPUS,"Natural Gas, Net Summer Capacity  in Million Kilowatts",425.39,Million Kilowatts
2013,NGEXPUS,Total Natural Gas Exports in Billion Cubic Feet,1572.413,Billion Cubic Feet
2013,NGEXPMX,Natural Gas Exports to Mexico in Billion Cubic Feet,661.221,Billion Cubic Feet
2013,NGEXPCN,Natural Gas Exports to Canada in Billion Cubic Feet,911.193,Billion Cubic Feet
2013,NGEXKUS,Natural Gas Exports Heat Content in Btu per Cubic Foot,1009,Btu per Cubic Foot
2013,NGEXBUS,Natural Gas Exports in Trillion Btu,1586.565,Trillion Btu
2013,NGETPUS,"Electricity Net Generation From Natural Gas, All Sectors in Million Kilowatthours",1124835.56,Million Kilowatthours
2013,NGETKUS,Approximate Natural Gas Heat Rate in Btu per Kilowatthour,7948,Btu per Kilowatthour
2013,NGERDUS,"Average Cost of Natural Gas Receipts at Electric Generating Plants in Dollars per Million Btu, Including Taxes",4.33,"Dollars per Million Btu, Including Taxes"
2013,NGEPPUS,"Natural Gas Consumption for Electricity Generation, All Sectors in Billion Cubic Feet",8596.299,Billion Cubic Feet
2013,NGELPUS,NGPL Production in Billion Cubic Feet,1356.709,Billion Cubic Feet
2013,NGEIUUS,"Average Natural Gas Price, Electric Power Sector in Dollars per Thousand Cubic Feet",4.49,Dollars per Thousand Cubic Feet
2013,NGEISUS,Percentage of Electric Power Sector Consumption for Which Price Data Are Available in Percent,94.9,Percent
2013,NGEIPUS,"Natural Gas Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector in Billion Cubic Feet",8190.756,Billion Cubic Feet
2013,NGEIKUS,"Natural Gas Consumption, Electric Power Sector Heat Content in Btu per Cubic Foot",1025,Btu per Cubic Foot
2013,NGEGPUS,"Electricity Net Generation From Natural Gas, Electric Power Sector in Million Kilowatthours",1028948.774,Million Kilowatthours
2013,NGECPUS,"Natural Gas Consumption for Electricity Generation and Useful Thermal Output, All Sectors in Billion Cubic Feet",9478.685,Billion Cubic Feet
2013,NGCGUUS,"Average Natural Gas Price, Citygate in Dollars per Thousand Cubic Feet",4.88,Dollars per Thousand Cubic Feet
2013,NGCCUUS,"Average Natural Gas Price, Delivered to Consumers, Commercial in Dollars per Thousand Cubic Feet",8.08,Dollars per Thousand Cubic Feet
2013,NGCCSUS,Percentage of Commercial Sector Consumption for Which Price Data Are Available in Percent,65.8,Percent
2013,NGCCPUS,Natural Gas Consumed by the Commercial Sector in Billion Cubic Feet,3295.301,Billion Cubic Feet
2013,NGC9PUS,"Natural Gas Commercial Sector, Net Summer Capacity in Million Kilowatts",1.779,Million Kilowatts
2013,NGC5PUS,"Electricity Net Generation From Natural Gas, Commercial Sector in Million Kilowatthours",7154.275,Million Kilowatthours
